x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002991	0.183643	[]
4	4	0x60243330	12	0.001152	0.079445	[]
4	4	0x6024333c	17444	0.010872	12.240954	[]
4	4	0x60247760	12	0.001050	0.087188	[]
4	4	0x6024776c	64	0.000939	0.520099	[]
4	4	0x602785ac	1140	0.001615	5.384061	[]
4	4	0x60278a78	4	0.001321	0.023096	[]
4	4	0x60278a7c	936	0.001554	4.596684	[]
4	4	0x60278e44	4	0.000945	0.032306	[]
4	4	0x60278e48	4	0.001045	0.029193	[]
4	4	0x60278f74	24	0.001573	0.116423	[]
4	4	0x60278f8c	68	0.000867	0.598504	[]
5	4	0x602432e8	72	0.000993	0.553221	[]
5	4	0x60243330	12	0.001186	0.077164	[]
5	4	0x6024333c	17444	0.009284	14.335272	[]
5	4	0x60247760	12	0.000874	0.104793	[]
5	4	0x6024776c	64	0.001225	0.398740	[]
5	4	0x602785ac	1140	0.001992	4.365943	[]
5	4	0x60278a78	4	0.000942	0.032403	[]
5	4	0x60278a7c	936	0.001406	5.078630	[]
5	4	0x60278e44	4	0.001252	0.024384	[]
5	4	0x60278e48	4	0.000876	0.034821	[]
5	4	0x60278f74	24	0.000872	0.210037	[]
5	4	0x60278f8c	68	0.001707	0.303856	[]
5	5	0x602432e8	72	0.001208	0.454780	[]
5	5	0x60243330	12	0.000774	0.118283	[]
5	5	0x6024333c	17444	0.008258	16.116247	[]
5	5	0x60247760	12	0.000741	0.123605	[]
5	5	0x6024776c	64	0.000695	0.702844	[]
5	5	0x602785ac	1140	0.001403	6.200681	[]
5	5	0x60278a78	4	0.000681	0.044783	[]
5	5	0x60278a7c	936	0.000878	8.129257	[]
5	5	0x60278e44	4	0.000613	0.049767	[]
5	5	0x60278e48	4	0.000712	0.042869	[]
5	5	0x60278f74	24	0.000874	0.209494	[]
5	5	0x60278f8c	68	0.000742	0.699306	[]
4	5	0x602432e8	72	0.001462	0.375736	[]
4	5	0x60243330	12	0.001041	0.087939	[]
4	5	0x6024333c	17444	0.005370	24.782391	[]
4	5	0x60247760	12	0.000656	0.139458	[]
4	5	0x6024776c	64	0.000637	0.766926	[]
4	5	0x602785ac	1140	0.000866	10.040334	[]
4	5	0x60278a78	4	0.000548	0.055677	[]
4	5	0x60278a7c	936	0.000986	7.241620	[]
4	5	0x60278e44	4	0.000638	0.047869	[]
4	5	0x60278e48	4	0.000575	0.053044	[]
4	5	0x60278f74	24	0.000548	0.334111	[]
4	5	0x60278f8c	68	0.000666	0.779225	[]
3	4	0x602432e8	72	0.000721	0.761492	[]
3	4	0x60243330	12	0.000646	0.141692	[]
3	4	0x6024333c	17444	0.004690	28.377028	[]
3	4	0x60247760	12	0.000759	0.120581	[]
3	4	0x6024776c	64	0.000776	0.629271	[]
3	4	0x6027695c	1140	0.000836	10.406521	[]
3	4	0x60276e28	4	0.000697	0.043767	[]
3	4	0x60276e2c	936	0.000946	7.548355	[]
3	4	0x602771f4	4	0.000552	0.055251	[]
3	4	0x602771f8	4	0.000537	0.056803	[]
3	4	0x60277324	24	0.000723	0.253114	[]
3	4	0x6027733c	68	0.000545	0.952606	[]
3	3	0x602432e8	72	0.000875	0.627649	[]
3	3	0x60243330	12	0.000586	0.156132	[]
3	3	0x6024333c	12004	0.003395	26.972242	[]
3	3	0x60246220	12	0.000937	0.097684	[]
3	3	0x6024622c	64	0.000661	0.739003	[]
3	3	0x6026ff7c	820	0.000866	7.227618	[]
3	3	0x60270308	4	0.000566	0.053880	[]
3	3	0x6027030c	936	0.000731	9.774554	[]
3	3	0x602706d4	4	0.000509	0.059957	[]
3	3	0x602706d8	4	0.000525	0.058117	[]
3	3	0x60270804	24	0.000582	0.314821	[]
3	3	0x6027081c	68	0.000546	0.949390	[]
4	3	0x602432e8	72	0.000651	0.843375	[]
4	3	0x60243330	12	0.000575	0.159155	[]
4	3	0x6024333c	3028	0.001325	17.434958	[]
4	3	0x60243f10	12	0.000584	0.156667	[]
4	3	0x60243f1c	64	0.000566	0.862694	[]
4	3	0x6025c28c	292	0.000652	3.415646	[]
4	3	0x6025c408	4	0.000587	0.052002	[]
4	3	0x6025c40c	936	0.000717	9.957268	[]
4	3	0x6025c7d4	4	0.000511	0.059715	[]
4	3	0x6025c7d8	4	0.000522	0.058477	[]
4	3	0x6025c904	24	0.000519	0.352666	[]
4	3	0x6025c91c	68	0.000583	0.890026	[]
6	4	0x602432e8	72	0.000662	0.829217	[]
6	4	0x60243330	12	0.000622	0.147093	[]
6	4	0x6024333c	52	0.000582	0.681676	[]
6	4	0x60243370	800	0.000805	7.583109	[]
6	4	0x60243690	16	0.000605	0.201668	[]
6	4	0x602436b8	4	0.000582	0.052448	[]
6	4	0x602436bc	12	0.000578	0.158491	[]
