x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002516	0.218292	[]
4	4	0x60243330	12	0.000956	0.095753	[]
4	4	0x6024333c	52	0.000920	0.431267	[]
4	4	0x60243370	16	0.000929	0.131380	[]
4	4	0x60c0935c	72	0.000957	0.573827	[]
4	4	0x60c093a4	12	0.000935	0.097963	[]
4	4	0x60c093b0	1396	0.001600	6.657184	[]
4	4	0x60c09924	12	0.000881	0.103949	[]
4	4	0x60c09930	24	0.000865	0.211588	[]
4	4	0x60c0a088	196	0.000901	1.658823	[]
4	4	0x60c0a1a4	4	0.000882	0.034615	[]
4	4	0x60c0a1a8	152	0.000843	1.375158	[]
4	4	0x60c0a244	4	0.000861	0.035462	[]
4	4	0x60c0a248	4	0.000831	0.036723	[]
4	4	0x60c0a260	24	0.000866	0.211558	[]
4	4	0x60c0a278	12	0.000863	0.106042	[]
